title,author,price,in_stock,book_genre,book_url
Official Book of Wordoku 4,Frank Longo,49.99,Instock,Hobbies,https://diwanegypt.com/product/official-book-of-wordoku-4/
Three-Day Weekend Crosswords,Leslie Billig,49.99,Instock,Hobbies,https://diwanegypt.com/product/three-day-weekend-crosswords/
Tomb in Ancient Egypt,Aidan Dodson,400.00,Instock,Egypt Essential,https://diwanegypt.com/product/tomb-in-ancient-egypt/
Train Book,Paulo Coelho,690.00,Out of stock,General Reference,https://diwanegypt.com/product/train-book/
Sit and Solve Scratch Trivia M,Trip Payne,49.99,Instock,Hobbies,https://diwanegypt.com/product/sit-and-solve-scratch-trivia-m/
Staying Strong,Demi Lovato,370.00,Instock,Wellbeing,https://diwanegypt.com/product/staying-strong/
Social Animal,David Brooks,380.00,Instock,Psychology,https://diwanegypt.com/product/social-animal/
Sip and Solve Hard Crosswords,Matt Gaffney,115.00,Instock,Hobbies,https://diwanegypt.com/product/sip-and-solve-hard-crosswords/
Simply Charms,Charlotte Bronte,49.99,Instock,Hobbies,https://diwanegypt.com/product/simply-charms/
Silk Roads,Peter Frankopan,425.00,Instock,History,https://diwanegypt.com/product/silk-roads/
Shadow World,Andrew Feinstein,315.00,Out of stock,History,https://diwanegypt.com/product/shadow-world/
Secret of Childhood,Maria Montessori,195.00,Instock,Family,https://diwanegypt.com/product/secret-of-childhood/
Science of Food,Marty Jopson,370.00,Instock,Health,https://diwanegypt.com/product/science-of-food/
Second Foundation,Isaac Asimov,175.00,Instock,Literature & Fiction,https://diwanegypt.com/product/second-foundation/
Saving Amy,Daphne Barak,49.99,Instock,Biography & Memoirs,https://diwanegypt.com/product/saving-amy/
Sandcastles and Snowmen,Sahar El-Nadi,49.99,Instock,Spirituality,https://diwanegypt.com/product/sandcastles-and-snowmen/
Selection,Kiera Cass,220.00,Instock,Young Adults,https://diwanegypt.com/product/selection/
And Then There Were None,Agatha Christie,195.00,Instock,Books,https://diwanegypt.com/product/and-then-there-were-none/
Death on the Nile,Agatha Christie,230.00,Instock,Literature & Fiction,https://diwanegypt.com/product/death-on-the-nile/
Zahir,Paulo Coelho,195.00,Instock,Literature & Fiction,https://diwanegypt.com/product/zahir/
By the River Piedra I Sat Down,Paulo Coelho,195.00,Instock,Literature & Fiction,https://diwanegypt.com/product/by-the-river-piedra-i-sat-down-and-wept/
